"Account_status" "Duration" "Credit_history" "Purpose" "Amount" "Savings" "Employment" "Installment_rate" "Guarantors" "Resident_since" "Property" "Age" "Other_plans" "Housing" "Num_credits" "Job" "People_maintenance" "Phone" "Foreign" "BAD" "Female" "probability" "predicted"
"448" "0 < ... <  200 DM" 7 "existing credits paid back duly till now" "radio / television" 2576 "< 100 DM" "1  <= ... < 4 years" 2 "guarantor" 2 "real estate" 35 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.02487562 0
"449" ">= 200 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 1424 "unknown / no savings account" ">= 7 years" 3 "none" 4 "real estate" 55 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.09580838 0
"450" "0 < ... <  200 DM" 15 "delay in paying off in the past" "repairs" 1512 ">= 1000 DM" "1  <= ... < 4 years" 3 "none" 3 "building society savings agreement / life insurance" 61 "stores" "A152" 2 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.21348315 0
"451" "no checking account" 36 "critical account / other credits existing (not at this bank)" "car (used)" 11054 "unknown / no savings account" "1  <= ... < 4 years" 4 "none" 2 "car or other" 30 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.26767677 0
"452" "no checking account" 6 "existing credits paid back duly till now" "radio / television" 518 "< 100 DM" "1  <= ... < 4 years" 3 "none" 1 "real estate" 29 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.13227513 0
"453" "no checking account" 12 "no credits taken / all credits paid back duly" "furniture / equipment" 2759 "< 100 DM" ">= 7 years" 2 "none" 4 "building society savings agreement / life insurance" 34 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.33146067 0
"454" "no checking account" 24 "existing credits paid back duly till now" "car (used)" 2670 "< 100 DM" ">= 7 years" 4 "none" 4 "car or other" 35 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.04347826 0
"455" "< 0 DM" 24 "existing credits paid back duly till now" "car (new)" 4817 "< 100 DM" "4  <= ... < 7 years" 2 "co-applicant" 3 "building society savings agreement / life insurance" 31 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.50285714 1
"456" "no checking account" 24 "existing credits paid back duly till now" "car (used)" 2679 "< 100 DM" "< 1 year" 4 "none" 1 "unknown / no property" 29 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.12307692 0
"457" "< 0 DM" 11 "critical account / other credits existing (not at this bank)" "car (new)" 3905 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 36 "none" "A151" 2 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.0952381 0
"458" "< 0 DM" 12 "existing credits paid back duly till now" "car (used)" 3386 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 35 "none" "A153" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.27717391 0
"459" "< 0 DM" 6 "existing credits paid back duly till now" "domestic appliances" 343 "< 100 DM" "< 1 year" 4 "none" 1 "real estate" 27 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.50282486 1
"460" "no checking account" 18 "existing credits paid back duly till now" "radio / television" 4594 "< 100 DM" "< 1 year" 3 "none" 2 "car or other" 32 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.18974359 0
"461" "< 0 DM" 36 "existing credits paid back duly till now" "furniture / equipment" 3620 "< 100 DM" "1  <= ... < 4 years" 1 "guarantor" 2 "building society savings agreement / life insurance" 37 "none" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.36923077 0
"462" "< 0 DM" 15 "existing credits paid back duly till now" "car (new)" 1721 "< 100 DM" "< 1 year" 2 "none" 3 "real estate" 36 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.45054945 0
"463" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "furniture / equipment" 3017 "< 100 DM" "< 1 year" 3 "none" 1 "real estate" 34 "none" "A151" 1 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "GOOD" "Male" 0.44318182 0
"464" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "retrainin" 754 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 38 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.2628866 0
"465" "no checking account" 18 "existing credits paid back duly till now" "business" 1950 "< 100 DM" "4  <= ... < 7 years" 4 "none" 1 "car or other" 34 "stores" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.30412371 0
"466" "< 0 DM" 24 "existing credits paid back duly till now" "car (used)" 2924 "< 100 DM" "1  <= ... < 4 years" 3 "guarantor" 4 "unknown / no property" 63 "bank" "A152" 1 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.31693989 0
"467" "< 0 DM" 24 "delay in paying off in the past" "radio / television" 1659 "< 100 DM" "< 1 year" 4 "none" 2 "car or other" 29 "none" "A151" 1 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.53977273 1
"468" "no checking account" 48 "delay in paying off in the past" "radio / television" 7238 "unknown / no savings account" ">= 7 years" 3 "none" 3 "car or other" 32 "bank" "A152" 2 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.20555556 0
"469" "no checking account" 33 "delay in paying off in the past" "business" 2764 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 26 "none" "A152" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.33707865 0
"470" "no checking account" 24 "delay in paying off in the past" "car (used)" 4679 "< 100 DM" "4  <= ... < 7 years" 3 "none" 3 "car or other" 35 "none" "A152" 2 "unskilled - resident" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.125 0
"471" "0 < ... <  200 DM" 24 "existing credits paid back duly till now" "radio / television" 3092 "100 <= ... <  500 DM" "< 1 year" 3 "none" 2 "car or other" 22 "none" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.42934783 0
"472" "< 0 DM" 6 "existing credits paid back duly till now" "education" 448 "< 100 DM" "< 1 year" 4 "none" 4 "building society savings agreement / life insurance" 23 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.3803681 0
"473" "< 0 DM" 9 "existing credits paid back duly till now" "car (new)" 654 "< 100 DM" "1  <= ... < 4 years" 4 "none" 3 "car or other" 28 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "BAD" "Female" 0.48618785 0
"474" "no checking account" 6 "existing credits paid back duly till now" "retrainin" 1238 "unknown / no savings account" "unemployed" 4 "none" 4 "building society savings agreement / life insurance" 36 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.15243902 0
"475" "0 < ... <  200 DM" 18 "critical account / other credits existing (not at this bank)" "radio / television" 1245 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "car or other" 33 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.29292929 0
"476" "< 0 DM" 18 "no credits taken / all credits paid back duly" "furniture / equipment" 3114 "< 100 DM" "< 1 year" 1 "none" 4 "building society savings agreement / life insurance" 26 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.60493827 1
"477" "no checking account" 39 "existing credits paid back duly till now" "car (used)" 2569 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 24 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.23626374 0
"478" ">= 200 DM" 24 "existing credits paid back duly till now" "radio / television" 5152 "< 100 DM" "4  <= ... < 7 years" 4 "none" 2 "car or other" 25 "bank" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.24365482 0
"479" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "business" 1037 "100 <= ... <  500 DM" "4  <= ... < 7 years" 3 "none" 4 "real estate" 39 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.18435754 0
"480" "< 0 DM" 15 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1478 "< 100 DM" ">= 7 years" 4 "none" 4 "car or other" 44 "none" "A152" 2 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.27777778 0
"481" "0 < ... <  200 DM" 12 "critical account / other credits existing (not at this bank)" "radio / television" 3573 "< 100 DM" "1  <= ... < 4 years" 1 "none" 1 "real estate" 23 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.32926829 0
"482" "0 < ... <  200 DM" 24 "existing credits paid back duly till now" "car (new)" 1201 "< 100 DM" "< 1 year" 4 "none" 1 "building society savings agreement / life insurance" 26 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.69060773 1
"483" "< 0 DM" 30 "existing credits paid back duly till now" "furniture / equipment" 3622 ">= 1000 DM" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 57 "none" "A151" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.34031414 0
"484" "no checking account" 15 "delay in paying off in the past" "furniture / equipment" 960 ">= 1000 DM" "4  <= ... < 7 years" 3 "none" 2 "building society savings agreement / life insurance" 30 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.14795918 0
"485" "no checking account" 12 "critical account / other credits existing (not at this bank)" "car (new)" 1163 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 4 "none" 4 "real estate" 44 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.04918033 0
"486" "0 < ... <  200 DM" 6 "delay in paying off in the past" "car (new)" 1209 "< 100 DM" "unemployed" 4 "none" 4 "building society savings agreement / life insurance" 47 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.24855491 0
"487" "no checking account" 12 "existing credits paid back duly till now" "radio / television" 3077 "< 100 DM" "1  <= ... < 4 years" 2 "none" 4 "car or other" 52 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.0125 0
"488" "no checking account" 24 "existing credits paid back duly till now" "car (new)" 3757 "< 100 DM" ">= 7 years" 4 "co-applicant" 4 "unknown / no property" 62 "none" "A153" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.21105528 0
"489" "no checking account" 10 "existing credits paid back duly till now" "car (new)" 1418 "100 <= ... <  500 DM" "1  <= ... < 4 years" 3 "none" 2 "real estate" 35 "none" "A151" 1 "unskilled - resident" 1 "none" "no" "GOOD" "Female" 0.0718232 0
"490" "no checking account" 6 "existing credits paid back duly till now" "car (new)" 3518 "< 100 DM" "1  <= ... < 4 years" 2 "guarantor" 3 "building society savings agreement / life insurance" 26 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.23913043 0
"491" "no checking account" 12 "critical account / other credits existing (not at this bank)" "radio / television" 1934 "< 100 DM" ">= 7 years" 2 "none" 2 "unknown / no property" 26 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.0257732 0
"492" "0 < ... <  200 DM" 27 "no credits taken / all credits paid back duly" "business" 8318 "< 100 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 42 "none" "A153" 2 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.64171123 1
"493" "no checking account" 6 "critical account / other credits existing (not at this bank)" "radio / television" 1237 "100 <= ... <  500 DM" "1  <= ... < 4 years" 1 "none" 1 "building society savings agreement / life insurance" 27 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.0855615 0
"494" "0 < ... <  200 DM" 6 "existing credits paid back duly till now" "radio / television" 368 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 38 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.1420765 0
"495" "< 0 DM" 12 "critical account / other credits existing (not at this bank)" "car (new)" 2122 "< 100 DM" "1  <= ... < 4 years" 3 "none" 2 "real estate" 39 "none" "A151" 2 "unskilled - resident" 2 "none" "no" "GOOD" "Female" 0.20430108 0
"496" "< 0 DM" 24 "existing credits paid back duly till now" "furniture / equipment" 2996 "unknown / no savings account" "1  <= ... < 4 years" 2 "none" 4 "car or other" 20 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.33529412 0
"497" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "furniture / equipment" 9034 "100 <= ... <  500 DM" "< 1 year" 4 "co-applicant" 1 "unknown / no property" 29 "none" "A151" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "BAD" "Female" 0.57894737 1
"498" "no checking account" 24 "critical account / other credits existing (not at this bank)" "furniture / equipment" 1585 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 40 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.05882353 0
"499" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "radio / television" 1301 "< 100 DM" ">= 7 years" 4 "guarantor" 2 "real estate" 32 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.19774011 0
"500" ">= 200 DM" 6 "critical account / other credits existing (not at this bank)" "car (new)" 1323 "100 <= ... <  500 DM" ">= 7 years" 2 "none" 4 "car or other" 28 "none" "A152" 2 "skilled employee / official" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.19337017 0
"501" "< 0 DM" 24 "existing credits paid back duly till now" "car (new)" 3123 "< 100 DM" "< 1 year" 4 "none" 1 "building society savings agreement / life insurance" 27 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.51923077 1
"502" "< 0 DM" 36 "existing credits paid back duly till now" "car (used)" 5493 "< 100 DM" ">= 7 years" 2 "none" 4 "unknown / no property" 42 "none" "A153" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.54973822 1
"503" ">= 200 DM" 9 "existing credits paid back duly till now" "radio / television" 1126 "100 <= ... <  500 DM" ">= 7 years" 2 "none" 4 "real estate" 49 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.13567839 0
"504" "0 < ... <  200 DM" 24 "critical account / other credits existing (not at this bank)" "radio / television" 1216 "100 <= ... <  500 DM" "< 1 year" 4 "none" 4 "unknown / no property" 38 "bank" "A152" 2 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.45555556 0
"505" "< 0 DM" 24 "existing credits paid back duly till now" "car (new)" 1207 "< 100 DM" "< 1 year" 4 "none" 4 "building society savings agreement / life insurance" 24 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.71727749 1
"506" "no checking account" 10 "existing credits paid back duly till now" "car (new)" 1309 "unknown / no savings account" "1  <= ... < 4 years" 4 "guarantor" 4 "building society savings agreement / life insurance" 27 "none" "A152" 1 "unskilled - resident" 1 "none" "yes" "BAD" "Female" 0.13023256 0
"507" ">= 200 DM" 15 "critical account / other credits existing (not at this bank)" "car (used)" 2360 "500 <= ... < 1000 DM" "1  <= ... < 4 years" 2 "none" 2 "car or other" 36 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.08938547 0
"508" "0 < ... <  200 DM" 15 "all credits at this bank paid back duly" "car (new)" 6850 "100 <= ... <  500 DM" "unemployed" 1 "none" 2 "building society savings agreement / life insurance" 34 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 2 "yes, registered under the customers name" "yes" "BAD" "Female" 0.49425287 0
"509" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 1413 "< 100 DM" "1  <= ... < 4 years" 4 "none" 2 "building society savings agreement / life insurance" 28 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.04624277 0
"510" "no checking account" 39 "existing credits paid back duly till now" "car (used)" 8588 "100 <= ... <  500 DM" ">= 7 years" 4 "none" 2 "car or other" 45 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.20114943 0
"511" "< 0 DM" 12 "existing credits paid back duly till now" "car (new)" 759 "< 100 DM" "4  <= ... < 7 years" 4 "none" 2 "real estate" 26 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.42261905 0
"512" "no checking account" 36 "existing credits paid back duly till now" "car (used)" 4686 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "unknown / no property" 32 "none" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.17021277 0
"513" ">= 200 DM" 15 "existing credits paid back duly till now" "business" 2687 "< 100 DM" "4  <= ... < 7 years" 2 "none" 4 "building society savings agreement / life insurance" 26 "none" "A151" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.16042781 0
"514" "0 < ... <  200 DM" 12 "delay in paying off in the past" "radio / television" 585 "< 100 DM" "1  <= ... < 4 years" 4 "co-applicant" 4 "real estate" 20 "none" "A151" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.40116279 0
"515" "no checking account" 24 "existing credits paid back duly till now" "car (new)" 2255 "unknown / no savings account" "< 1 year" 4 "none" 1 "building society savings agreement / life insurance" 54 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.15340909 0
"516" "< 0 DM" 6 "critical account / other credits existing (not at this bank)" "car (new)" 609 "< 100 DM" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 37 "none" "A152" 2 "skilled employee / official" 1 "none" "no" "GOOD" "Male" 0.29444444 0
"517" "< 0 DM" 6 "critical account / other credits existing (not at this bank)" "car (new)" 1361 "< 100 DM" "< 1 year" 2 "none" 4 "real estate" 40 "none" "A152" 1 "unskilled - resident" 2 "none" "no" "GOOD" "Female" 0.09142857 0
"518" "no checking account" 36 "critical account / other credits existing (not at this bank)" "furniture / equipment" 7127 "< 100 DM" "< 1 year" 2 "none" 4 "building society savings agreement / life insurance" 23 "none" "A151" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.37765957 0
"519" "< 0 DM" 6 "existing credits paid back duly till now" "car (new)" 1203 "100 <= ... <  500 DM" ">= 7 years" 3 "none" 2 "building society savings agreement / life insurance" 43 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.36666667 0
"520" "no checking account" 6 "critical account / other credits existing (not at this bank)" "radio / television" 700 "unknown / no savings account" ">= 7 years" 4 "none" 4 "unknown / no property" 36 "none" "A153" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.11242604 0
"521" "no checking account" 24 "critical account / other credits existing (not at this bank)" "repairs" 5507 "< 100 DM" ">= 7 years" 3 "none" 4 "unknown / no property" 44 "none" "A153" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.11282051 0
"522" "< 0 DM" 18 "existing credits paid back duly till now" "radio / television" 3190 "< 100 DM" "1  <= ... < 4 years" 2 "none" 2 "real estate" 24 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Male" 0.40425532 0
"523" "< 0 DM" 48 "no credits taken / all credits paid back duly" "furniture / equipment" 7119 "< 100 DM" "1  <= ... < 4 years" 3 "none" 4 "unknown / no property" 53 "none" "A153" 2 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.8115942 1
"524" "no checking account" 24 "existing credits paid back duly till now" "car (used)" 3488 "100 <= ... <  500 DM" "4  <= ... < 7 years" 3 "none" 4 "car or other" 23 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.23333333 0
"525" "0 < ... <  200 DM" 18 "existing credits paid back duly till now" "radio / television" 1113 "< 100 DM" "1  <= ... < 4 years" 4 "guarantor" 4 "real estate" 26 "none" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Male" 0.28272251 0
"526" "0 < ... <  200 DM" 26 "existing credits paid back duly till now" "car (used)" 7966 "< 100 DM" "< 1 year" 2 "none" 3 "car or other" 30 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.43781095 0
"527" "no checking account" 15 "critical account / other credits existing (not at this bank)" "education" 1532 "100 <= ... <  500 DM" "1  <= ... < 4 years" 4 "none" 3 "car or other" 31 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.20231214 0
"528" "no checking account" 4 "critical account / other credits existing (not at this bank)" "radio / television" 1503 "< 100 DM" "4  <= ... < 7 years" 2 "none" 1 "real estate" 42 "none" "A152" 2 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.01554404 0
"529" "< 0 DM" 36 "existing credits paid back duly till now" "radio / television" 2302 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 31 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.625 1
"530" "< 0 DM" 6 "existing credits paid back duly till now" "car (new)" 662 "< 100 DM" "< 1 year" 3 "none" 4 "real estate" 41 "none" "A152" 1 "unskilled - resident" 2 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.28333333 0
"531" "0 < ... <  200 DM" 36 "existing credits paid back duly till now" "education" 2273 "< 100 DM" "4  <= ... < 7 years" 3 "none" 1 "car or other" 32 "none" "A152" 2 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.47311828 0
"532" "0 < ... <  200 DM" 15 "existing credits paid back duly till now" "car (new)" 2631 "100 <= ... <  500 DM" "1  <= ... < 4 years" 2 "none" 4 "car or other" 28 "none" "A151" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "BAD" "Male" 0.2628866 0
"533" "no checking account" 12 "delay in paying off in the past" "car (used)" 1503 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "real estate" 41 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.1122449 0
"534" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 1311 "100 <= ... <  500 DM" "4  <= ... < 7 years" 4 "none" 3 "building society savings agreement / life insurance" 26 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.05759162 0
"535" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 3105 "unknown / no savings account" "< 1 year" 4 "none" 2 "car or other" 25 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Female" 0.0994152 0
"536" ">= 200 DM" 21 "critical account / other credits existing (not at this bank)" "education" 2319 "< 100 DM" "< 1 year" 2 "none" 1 "car or other" 33 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.24864865 0
"537" "< 0 DM" 6 "existing credits paid back duly till now" "car (new)" 1374 "unknown / no savings account" "unemployed" 4 "none" 3 "building society savings agreement / life insurance" 75 "none" "A152" 1 "management / self-employed / highly qualified employee / officer" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.37931034 0
"538" "0 < ... <  200 DM" 18 "critical account / other credits existing (not at this bank)" "furniture / equipment" 3612 "< 100 DM" ">= 7 years" 3 "none" 4 "building society savings agreement / life insurance" 37 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.25730994 0
"539" "< 0 DM" 48 "existing credits paid back duly till now" "car (new)" 7763 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 42 "bank" "A153" 1 "management / self-employed / highly qualified employee / officer" 1 "none" "yes" "BAD" "Female" 0.68947368 1
"540" ">= 200 DM" 18 "existing credits paid back duly till now" "furniture / equipment" 3049 "< 100 DM" "< 1 year" 1 "none" 1 "building society savings agreement / life insurance" 45 "stores" "A152" 1 "unskilled - resident" 1 "none" "yes" "GOOD" "Male" 0.33673469 0
"541" "0 < ... <  200 DM" 12 "existing credits paid back duly till now" "radio / television" 1534 "< 100 DM" "< 1 year" 1 "none" 1 "real estate" 23 "none" "A151" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.28323699 0
"542" "no checking account" 24 "delay in paying off in the past" "car (new)" 2032 "< 100 DM" ">= 7 years" 4 "none" 4 "unknown / no property" 60 "none" "A153" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.31770833 0
"543" "< 0 DM" 30 "existing credits paid back duly till now" "furniture / equipment" 6350 "unknown / no savings account" ">= 7 years" 4 "none" 4 "building society savings agreement / life insurance" 31 "none" "A152" 1 "skilled employee / official" 1 "none" "yes" "BAD" "Female" 0.35757576 0
"544" ">= 200 DM" 18 "existing credits paid back duly till now" "furniture / equipment" 2864 "< 100 DM" "1  <= ... < 4 years" 2 "none" 1 "real estate" 34 "none" "A152" 1 "unskilled - resident" 2 "none" "yes" "BAD" "Female" 0.16666667 0
"545" "no checking account" 12 "critical account / other credits existing (not at this bank)" "car (new)" 1255 "< 100 DM" ">= 7 years" 4 "none" 4 "real estate" 61 "none" "A152" 2 "unskilled - resident" 1 "none" "yes" "GOOD" "Female" 0.06914894 0
"546" "< 0 DM" 24 "delay in paying off in the past" "car (new)" 1333 "< 100 DM" "unemployed" 4 "none" 2 "real estate" 43 "none" "A153" 2 "skilled employee / official" 2 "none" "yes" "BAD" "Female" 0.47619048 0
"547" "no checking account" 24 "critical account / other credits existing (not at this bank)" "car (new)" 2022 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "car or other" 37 "none" "A152" 1 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Male" 0.05641026 0
"548" "no checking account" 24 "existing credits paid back duly till now" "radio / television" 1552 "< 100 DM" "4  <= ... < 7 years" 3 "none" 1 "car or other" 32 "bank" "A152" 1 "skilled employee / official" 2 "none" "yes" "GOOD" "Female" 0.2037037 0
"549" "< 0 DM" 12 "all credits at this bank paid back duly" "radio / television" 626 "< 100 DM" "1  <= ... < 4 years" 4 "none" 4 "real estate" 24 "bank" "A152" 1 "unskilled - resident" 1 "none" "yes" "BAD" "Male" 0.34 0
"550" "no checking account" 48 "critical account / other credits existing (not at this bank)" "car (used)" 8858 "unknown / no savings account" "4  <= ... < 7 years" 2 "none" 1 "unknown / no property" 35 "none" "A153" 2 "skilled employee / official" 1 "yes, registered under the customers name" "yes" "GOOD" "Female" 0.16393443 0
"551" "no checking account" 12 "critical account / other credits existing (not at this bank)" "repairs" 996 "unknown / no savings account" "4  <= ... < 7 years" 4 "none" 4 "real estate" 23 "none" "A152" 2 "skilled employee / official" 1 "none" "yes" "GOOD" "Male" 0.26984127 0
"552" "no checking account" 6 "all credits at this bank paid back duly" "radio / television" 1750 "500 <= ... < 1000 DM" ">= 7 years" 2 "none" 4 "building society savings agreement / life insurance" 45 "bank" "A152" 1 "unskilled - resident" 2 "none" "yes" "GOOD" "Female" 0.20114943 0
